  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2046   0.00735   0.00247  -0.0835   0.6758   0.2337
  -4.000  -0.1016   0.00726   0.00229  -0.0815   0.6198   0.2579
  -3.000   0.0031   0.00726   0.00220  -0.0798   0.5739   0.2799
  -2.000   0.1078   0.00721   0.00213  -0.0781   0.5347   0.3083
  -1.000   0.2110   0.00727   0.00214  -0.0761   0.4971   0.3347
   0.000   0.3056   0.00738   0.00219  -0.0723   0.4597   0.3621
   1.000   0.4012   0.00752   0.00233  -0.0688   0.4282   0.3932
   2.000   0.5036   0.00785   0.00262  -0.0668   0.3952   0.4220
   3.000   0.6044   0.00828   0.00303  -0.0647   0.3632   0.4582
   4.000   0.7058   0.00877   0.00350  -0.0629   0.3340   0.4914
   5.000   0.8032   0.00941   0.00413  -0.0605   0.3032   0.5318
   6.000   0.8998   0.01013   0.00485  -0.0582   0.2779   0.5684
   7.000   0.9916   0.01108   0.00579  -0.0553   0.2505   0.6121
   8.000   1.0821   0.01215   0.00684  -0.0525   0.2277   0.6448
   9.000   1.1672   0.01348   0.00819  -0.0491   0.2043   0.6882
  10.000   1.2491   0.01500   0.00978  -0.0457   0.1847   0.7474
  11.000   1.3225   0.01675   0.01188  -0.0413   0.1653   0.8999
  12.000   1.3893   0.01893   0.01418  -0.0363   0.1501   0.9997
  13.000   1.4534   0.02191   0.01709  -0.0321   0.1348   0.9997
  14.000   1.5134   0.02537   0.02053  -0.0283   0.1218   0.9997
  15.000   1.5659   0.02959   0.02475  -0.0245   0.1114   0.9997
