  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0811   0.00786   0.00275  -0.1131   0.5813   0.0127
  -4.000   0.1915   0.00768   0.00214  -0.1125   0.4758   0.0159
  -3.000   0.3019   0.00784   0.00187  -0.1119   0.3714   0.0206
  -2.000   0.4136   0.00797   0.00177  -0.1116   0.3103   0.0271
  -1.000   0.5266   0.00801   0.00168  -0.1115   0.2871   0.0318
   0.000   0.6401   0.00803   0.00166  -0.1117   0.2766   0.0358
   1.000   0.7528   0.00810   0.00169  -0.1117   0.2669   0.0480
   2.000   0.8659   0.00816   0.00184  -0.1120   0.2645   0.0823
   3.000   0.9780   0.00831   0.00209  -0.1122   0.2608   0.1292
   4.000   1.0847   0.00723   0.00266  -0.1120   0.2549   0.9998
   5.000   1.1949   0.00763   0.00304  -0.1121   0.2511   0.9998
   6.000   1.3051   0.00796   0.00338  -0.1123   0.2478   0.9998
   7.000   1.4126   0.00845   0.00385  -0.1122   0.2403   0.9998
   8.000   1.5197   0.00888   0.00432  -0.1122   0.2324   0.9998
   9.000   1.6198   0.00974   0.00503  -0.1112   0.2013   0.9998
  10.000   1.6883   0.01286   0.00745  -0.1052   0.0966   0.9998
  11.000   1.7352   0.01663   0.01073  -0.0957   0.0200   0.9998
  12.000   1.7939   0.01879   0.01295  -0.0885   0.0156   0.9998
  13.000   1.8486   0.02135   0.01566  -0.0819   0.0142   0.9998
  14.000   1.8895   0.02519   0.01964  -0.0752   0.0123   0.9998
  15.000   1.9215   0.03034   0.02498  -0.0696   0.0111   0.9998
