  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1626   0.00656   0.00192  -0.1551   0.7368   0.0255
  -4.000   0.2763   0.00640   0.00158  -0.1553   0.6933   0.0283
  -3.000   0.3895   0.00624   0.00122  -0.1555   0.6447   0.0330
  -1.000   0.6144   0.00624   0.00098  -0.1558   0.5464   0.0801
   0.000   0.7268   0.00632   0.00105  -0.1561   0.5082   0.1273
   1.000   0.8389   0.00642   0.00121  -0.1564   0.4792   0.1983
   2.000   0.9507   0.00650   0.00146  -0.1567   0.4562   0.3231
   4.000   1.1685   0.00603   0.00221  -0.1565   0.4175   0.9998
   5.000   1.2717   0.00689   0.00273  -0.1554   0.3505   0.9998
   6.000   1.3665   0.00829   0.00366  -0.1529   0.2567   0.9998
   7.000   1.4402   0.01107   0.00555  -0.1468   0.0954   0.9998
   8.000   1.5161   0.01325   0.00731  -0.1411   0.0272   0.9998
   9.000   1.5908   0.01473   0.00878  -0.1351   0.0194   0.9998
  10.000   1.6609   0.01632   0.01043  -0.1287   0.0176   0.9998
  11.000   1.7203   0.01860   0.01282  -0.1214   0.0151   0.9998
  12.000   1.7803   0.02104   0.01535  -0.1151   0.0139   0.9998
  13.000   1.8260   0.02470   0.01911  -0.1079   0.0117   0.9998
  14.000   1.8670   0.02910   0.02362  -0.1015   0.0097   0.9998
  15.000   1.8903   0.03551   0.03018  -0.0950   0.0071   0.9998
