  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1671   0.00656   0.00192  -0.1560   0.7357   0.0254
  -4.000   0.2807   0.00640   0.00159  -0.1563   0.6922   0.0282
  -3.000   0.3938   0.00625   0.00123  -0.1565   0.6436   0.0329
  -2.000   0.5064   0.00624   0.00103  -0.1566   0.5929   0.0410
  -1.000   0.6187   0.00625   0.00099  -0.1568   0.5460   0.0792
   0.000   0.7310   0.00633   0.00106  -0.1570   0.5078   0.1262
   1.000   0.8432   0.00643   0.00122  -0.1573   0.4791   0.1961
   2.000   0.9549   0.00651   0.00147  -0.1576   0.4562   0.3193
   3.000   1.0622   0.00568   0.00192  -0.1574   0.4368   0.9998
   4.000   1.1727   0.00605   0.00222  -0.1575   0.4180   0.9998
   5.000   1.2760   0.00688   0.00274  -0.1564   0.3523   0.9998
   6.000   1.3707   0.00828   0.00366  -0.1538   0.2595   0.9998
   7.000   1.4443   0.01106   0.00555  -0.1477   0.0983   0.9998
   8.000   1.5194   0.01327   0.00733  -0.1419   0.0277   0.9998
   9.000   1.5932   0.01477   0.00882  -0.1357   0.0194   0.9998
  10.000   1.6631   0.01638   0.01049  -0.1293   0.0176   0.9998
  11.000   1.7222   0.01869   0.01290  -0.1219   0.0152   0.9998
  12.000   1.7820   0.02115   0.01545  -0.1156   0.0140   0.9998
  13.000   1.8273   0.02485   0.01926  -0.1084   0.0117   0.9998
  14.000   1.8684   0.02925   0.02377  -0.1021   0.0098   0.9998
  15.000   1.8916   0.03570   0.03036  -0.0957   0.0072   0.9998
