  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1691   0.00655   0.00192  -0.1567   0.7365   0.0255
  -4.000   0.2827   0.00639   0.00157  -0.1569   0.6934   0.0283
  -3.000   0.3959   0.00624   0.00122  -0.1571   0.6454   0.0330
  -2.000   0.5086   0.00622   0.00103  -0.1573   0.5952   0.0411
  -1.000   0.6208   0.00623   0.00099  -0.1575   0.5482   0.0802
   0.000   0.7332   0.00632   0.00106  -0.1577   0.5103   0.1272
   1.000   0.8453   0.00642   0.00122  -0.1580   0.4812   0.1970
   2.000   0.9571   0.00649   0.00147  -0.1583   0.4589   0.3205
   6.000   1.3722   0.00831   0.00369  -0.1544   0.2579   0.9998
   7.000   1.4454   0.01110   0.00558  -0.1482   0.0969   0.9998
   8.000   1.5203   0.01329   0.00735  -0.1424   0.0275   0.9998
   9.000   1.5937   0.01480   0.00885  -0.1361   0.0194   0.9998
  10.000   1.6636   0.01641   0.01052  -0.1297   0.0176   0.9998
  11.000   1.7225   0.01874   0.01295  -0.1223   0.0152   0.9998
  12.000   1.7822   0.02121   0.01552  -0.1160   0.0140   0.9998
  13.000   1.8273   0.02493   0.01934  -0.1088   0.0117   0.9998
  14.000   1.8687   0.02933   0.02385  -0.1025   0.0098   0.9998
  15.000   1.8921   0.03576   0.03043  -0.0961   0.0073   0.9998
