  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1500   0.00656   0.00192  -0.1519   0.7376   0.0254
  -4.000   0.2636   0.00642   0.00159  -0.1521   0.6925   0.0282
  -3.000   0.3767   0.00625   0.00122  -0.1523   0.6426   0.0329
  -2.000   0.4894   0.00624   0.00102  -0.1524   0.5913   0.0411
  -1.000   0.6017   0.00624   0.00098  -0.1526   0.5435   0.0801
   0.000   0.7139   0.00634   0.00105  -0.1528   0.5041   0.1276
   1.000   0.8262   0.00643   0.00120  -0.1531   0.4750   0.1998
   2.000   0.9382   0.00648   0.00145  -0.1535   0.4528   0.3300
   3.000   1.0455   0.00564   0.00189  -0.1532   0.4332   0.9998
   4.000   1.1559   0.00603   0.00219  -0.1533   0.4135   0.9998
   5.000   1.2597   0.00686   0.00270  -0.1523   0.3478   0.9998
   6.000   1.3550   0.00825   0.00362  -0.1499   0.2537   0.9998
   7.000   1.4300   0.01099   0.00548  -0.1440   0.0942   0.9998
   8.000   1.5072   0.01314   0.00722  -0.1386   0.0269   0.9998
   9.000   1.5845   0.01460   0.00866  -0.1330   0.0193   0.9998
  10.000   1.6550   0.01615   0.01027  -0.1267   0.0175   0.9998
  11.000   1.7148   0.01838   0.01261  -0.1193   0.0151   0.9998
  12.000   1.7756   0.02074   0.01506  -0.1130   0.0139   0.9998
  13.000   1.8217   0.02432   0.01874  -0.1058   0.0117   0.9998
  14.000   1.8632   0.02864   0.02317  -0.0994   0.0096   0.9998
  15.000   1.8869   0.03499   0.02966  -0.0930   0.0070   0.9998
