  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1679   0.00655   0.00192  -0.1565   0.7369   0.0255
  -4.000   0.2816   0.00639   0.00158  -0.1567   0.6937   0.0283
  -3.000   0.3948   0.00623   0.00122  -0.1569   0.6459   0.0330
  -2.000   0.5074   0.00622   0.00103  -0.1570   0.5955   0.0411
  -1.000   0.6197   0.00623   0.00099  -0.1572   0.5484   0.0802
   0.000   0.7320   0.00631   0.00106  -0.1575   0.5104   0.1276
   1.000   0.8441   0.00642   0.00122  -0.1577   0.4813   0.1981
   2.000   0.9559   0.00649   0.00146  -0.1581   0.4589   0.3214
   3.000   1.0630   0.00568   0.00192  -0.1578   0.4381   0.9998
   4.000   1.1735   0.00604   0.00222  -0.1579   0.4193   0.9998
   5.000   1.2766   0.00689   0.00274  -0.1568   0.3520   0.9998
   6.000   1.3709   0.00831   0.00369  -0.1542   0.2568   0.9998
   7.000   1.4440   0.01112   0.00559  -0.1480   0.0951   0.9998
   8.000   1.5193   0.01329   0.00735  -0.1421   0.0273   0.9998
   9.000   1.5931   0.01479   0.00883  -0.1359   0.0194   0.9998
  10.000   1.6630   0.01639   0.01050  -0.1296   0.0176   0.9998
  11.000   1.7220   0.01871   0.01292  -0.1222   0.0152   0.9998
  12.000   1.7817   0.02118   0.01548  -0.1159   0.0139   0.9998
  13.000   1.8271   0.02487   0.01928  -0.1087   0.0117   0.9998
  14.000   1.8681   0.02929   0.02381  -0.1023   0.0097   0.9998
  15.000   1.8914   0.03573   0.03039  -0.0959   0.0072   0.9998
