  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0370   0.00668   0.00196  -0.1231   0.7405   0.0249
  -3.000   0.2628   0.00639   0.00123  -0.1231   0.6230   0.0325
  -2.000   0.3752   0.00640   0.00101  -0.1231   0.5593   0.0404
  -1.000   0.4874   0.00643   0.00095  -0.1232   0.5017   0.0760
   0.000   0.6000   0.00650   0.00100  -0.1234   0.4591   0.1248
   1.000   0.7128   0.00655   0.00113  -0.1237   0.4305   0.2036
   2.000   0.8245   0.00595   0.00144  -0.1244   0.4096   0.6657
   4.000   1.0445   0.00595   0.00202  -0.1239   0.3744   0.9998
   5.000   1.1521   0.00659   0.00243  -0.1236   0.3233   0.9998
   6.000   1.2525   0.00777   0.00320  -0.1221   0.2423   0.9998
   7.000   1.3378   0.01016   0.00481  -0.1181   0.0976   0.9998
   8.000   1.4234   0.01224   0.00644  -0.1143   0.0271   0.9998
   9.000   1.5134   0.01361   0.00779  -0.1112   0.0192   0.9998
  10.000   1.5999   0.01490   0.00913  -0.1078   0.0176   0.9998
  11.000   1.6659   0.01670   0.01102  -0.1007   0.0150   0.9998
  12.000   1.7321   0.01848   0.01288  -0.0945   0.0138   0.9998
  13.000   1.7843   0.02128   0.01578  -0.0873   0.0115   0.9998
  14.000   1.8296   0.02492   0.01951  -0.0807   0.0091   0.9998
  15.000   1.8572   0.03049   0.02523  -0.0740   0.0066   0.9998
