  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1769   0.00756   0.00234  -0.1366   0.5676   0.0198
  -4.000   0.2879   0.00767   0.00210  -0.1361   0.4769   0.0244
  -3.000   0.3992   0.00786   0.00199  -0.1356   0.4024   0.0287
  -2.000   0.5112   0.00792   0.00184  -0.1354   0.3557   0.0329
  -1.000   0.6243   0.00793   0.00173  -0.1355   0.3339   0.0376
   0.000   0.7377   0.00796   0.00172  -0.1356   0.3222   0.0453
   1.000   0.8503   0.00805   0.00185  -0.1358   0.3125   0.0735
   2.000   0.9632   0.00814   0.00202  -0.1361   0.3089   0.1063
   3.000   1.0745   0.00833   0.00231  -0.1363   0.3032   0.1646
   4.000   1.1808   0.00738   0.00292  -0.1360   0.2969   0.9998
   5.000   1.2914   0.00770   0.00323  -0.1363   0.2946   0.9998
   6.000   1.3997   0.00811   0.00363  -0.1362   0.2883   0.9998
   7.000   1.5058   0.00860   0.00412  -0.1360   0.2808   0.9998
   8.000   1.6101   0.00911   0.00461  -0.1355   0.2677   0.9998
   9.000   1.7061   0.01003   0.00538  -0.1338   0.2341   0.9998
  10.000   1.7730   0.01241   0.00729  -0.1271   0.1566   0.9998
  12.000   1.8213   0.02089   0.01497  -0.1023   0.0205   0.9998
  13.000   1.8643   0.02470   0.01889  -0.0955   0.0165   0.9998
  14.000   1.8940   0.03008   0.02443  -0.0891   0.0143   0.9998
  15.000   1.9177   0.03676   0.03131  -0.0842   0.0135   0.9998
