  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1706   0.00677   0.00196  -0.1554   0.7121   0.0295
  -4.000   0.2844   0.00650   0.00151  -0.1556   0.6683   0.0338
  -3.000   0.3977   0.00641   0.00124  -0.1558   0.6208   0.0400
  -2.000   0.5105   0.00637   0.00112  -0.1559   0.5733   0.0643
   0.000   0.7355   0.00653   0.00121  -0.1563   0.4962   0.1430
   1.000   0.8480   0.00661   0.00137  -0.1566   0.4714   0.2123
   2.000   0.9599   0.00671   0.00161  -0.1569   0.4506   0.3138
   3.000   1.0671   0.00584   0.00207  -0.1566   0.4341   0.9998
   4.000   1.1776   0.00622   0.00237  -0.1566   0.4163   0.9998
   5.000   1.2847   0.00676   0.00277  -0.1561   0.3812   0.9998
   6.000   1.3832   0.00779   0.00347  -0.1542   0.3151   0.9998
   7.000   1.4687   0.00952   0.00467  -0.1501   0.2182   0.9998
   8.000   1.5332   0.01214   0.00661  -0.1422   0.0994   0.9998
   9.000   1.5893   0.01445   0.00860  -0.1330   0.0431   0.9998
  10.000   1.6481   0.01675   0.01081  -0.1251   0.0231   0.9998
  11.000   1.7088   0.01914   0.01325  -0.1184   0.0194   0.9998
  12.000   1.7599   0.02234   0.01654  -0.1112   0.0168   0.9998
  13.000   1.8086   0.02603   0.02036  -0.1050   0.0158   0.9998
  14.000   1.8428   0.03123   0.02570  -0.0985   0.0143   0.9998
  15.000   1.8702   0.03767   0.03233  -0.0930   0.0134   0.9998
