  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1658   0.00655   0.00192  -0.1560   0.7377   0.0255
  -4.000   0.2794   0.00639   0.00158  -0.1562   0.6944   0.0283
  -3.000   0.3926   0.00623   0.00122  -0.1564   0.6466   0.0330
  -2.000   0.5052   0.00621   0.00102  -0.1566   0.5960   0.0414
  -1.000   0.6175   0.00622   0.00098  -0.1567   0.5488   0.0806
   0.000   0.7298   0.00631   0.00105  -0.1570   0.5107   0.1280
   1.000   0.8419   0.00641   0.00121  -0.1573   0.4815   0.1995
   2.000   0.9537   0.00648   0.00146  -0.1576   0.4591   0.3238
   6.000   1.3685   0.00832   0.00369  -0.1536   0.2554   0.9998
   7.000   1.4417   0.01111   0.00558  -0.1475   0.0938   0.9998
   8.000   1.5174   0.01328   0.00734  -0.1417   0.0271   0.9998
   9.000   1.5914   0.01476   0.00881  -0.1355   0.0194   0.9998
  10.000   1.6614   0.01636   0.01048  -0.1292   0.0175   0.9998
  11.000   1.7207   0.01867   0.01288  -0.1218   0.0151   0.9998
  12.000   1.7805   0.02112   0.01543  -0.1155   0.0139   0.9998
  13.000   1.8261   0.02479   0.01920  -0.1083   0.0117   0.9998
  14.000   1.8671   0.02920   0.02372  -0.1019   0.0097   0.9998
  15.000   1.8903   0.03563   0.03029  -0.0955   0.0071   0.9998
