  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1763   0.00758   0.00236  -0.1367   0.5666   0.0185
  -4.000   0.2874   0.00762   0.00207  -0.1362   0.4790   0.0239
  -3.000   0.3985   0.00782   0.00196  -0.1358   0.4017   0.0284
  -2.000   0.5106   0.00790   0.00182  -0.1356   0.3558   0.0325
  -1.000   0.6235   0.00794   0.00173  -0.1356   0.3319   0.0365
   0.000   0.7369   0.00796   0.00171  -0.1357   0.3214   0.0440
   1.000   0.8501   0.00800   0.00181  -0.1360   0.3141   0.0714
   2.000   0.9626   0.00812   0.00201  -0.1363   0.3091   0.1068
   3.000   1.0733   0.00836   0.00232  -0.1363   0.3011   0.1606
   4.000   1.1810   0.00731   0.00286  -0.1363   0.2987   0.9998
   5.000   1.2912   0.00766   0.00320  -0.1365   0.2949   0.9998
   6.000   1.3982   0.00818   0.00366  -0.1362   0.2860   0.9998
   7.000   1.5061   0.00853   0.00407  -0.1363   0.2817   0.9998
   8.000   1.6103   0.00905   0.00458  -0.1358   0.2681   0.9998
   9.000   1.7044   0.01011   0.00543  -0.1338   0.2290   0.9998
  10.000   1.7666   0.01280   0.00757  -0.1264   0.1402   0.9998
  11.000   1.7832   0.01727   0.01142  -0.1117   0.0419   0.9998
  12.000   1.8213   0.02093   0.01500  -0.1026   0.0189   0.9998
  13.000   1.8653   0.02467   0.01885  -0.0959   0.0158   0.9998
  14.000   1.8985   0.02974   0.02410  -0.0897   0.0142   0.9998
  15.000   1.9208   0.03650   0.03107  -0.0847   0.0132   0.9998
