  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.2270   0.00827   0.00308  -0.1450   0.5200   0.0123
  -4.000   0.3369   0.00813   0.00244  -0.1444   0.4206   0.0150
  -3.000   0.4481   0.00812   0.00212  -0.1440   0.3543   0.0199
  -2.000   0.5609   0.00812   0.00199  -0.1439   0.3261   0.0264
  -1.000   0.6739   0.00815   0.00194  -0.1440   0.3117   0.0316
   0.000   0.7870   0.00818   0.00193  -0.1441   0.3051   0.0357
   1.000   0.8993   0.00828   0.00198  -0.1442   0.2971   0.0428
   2.000   1.0118   0.00834   0.00214  -0.1445   0.2949   0.0730
   3.000   1.1230   0.00852   0.00240  -0.1447   0.2910   0.1131
   4.000   1.2324   0.00880   0.00278  -0.1447   0.2858   0.1806
   6.000   1.4469   0.00838   0.00380  -0.1447   0.2784   0.9998
   7.000   1.5525   0.00886   0.00427  -0.1444   0.2711   0.9998
   8.000   1.6569   0.00933   0.00479  -0.1441   0.2644   0.9998
   9.000   1.7566   0.00999   0.00541  -0.1431   0.2456   0.9998
  10.000   1.8175   0.01286   0.00763  -0.1356   0.1487   0.9998
  11.000   1.8197   0.01818   0.01221  -0.1187   0.0307   0.9998
  12.000   1.8615   0.02164   0.01566  -0.1102   0.0163   0.9998
  13.000   1.9068   0.02529   0.01947  -0.1038   0.0145   0.9998
  14.000   1.9354   0.03075   0.02509  -0.0973   0.0126   0.9998
  15.000   1.9553   0.03779   0.03235  -0.0923   0.0115   0.9998
