  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1966   0.00679   0.00186  -0.0822   0.7290   0.1423
  -4.000  -0.0827   0.00651   0.00160  -0.0823   0.6902   0.1742
  -3.000   0.0313   0.00630   0.00141  -0.0824   0.6501   0.2139
  -2.000   0.1454   0.00616   0.00130  -0.0826   0.6093   0.2577
  -1.000   0.2593   0.00611   0.00127  -0.0827   0.5676   0.3061
   0.000   0.3727   0.00615   0.00131  -0.0827   0.5253   0.3565
   1.000   0.4849   0.00626   0.00143  -0.0826   0.4805   0.4145
   2.000   0.5961   0.00644   0.00163  -0.0823   0.4346   0.4781
   3.000   0.7045   0.00674   0.00193  -0.0815   0.3837   0.5549
   4.000   0.8110   0.00710   0.00232  -0.0804   0.3340   0.6481
   5.000   0.9139   0.00753   0.00284  -0.0787   0.2832   0.7664
   6.000   1.0088   0.00804   0.00352  -0.0753   0.2334   0.9195
   7.000   1.1142   0.00898   0.00432  -0.0744   0.1875   0.9977
   8.000   1.1944   0.01011   0.00520  -0.0686   0.1451   0.9998
   9.000   1.2731   0.01140   0.00631  -0.0629   0.1134   0.9998
  10.000   1.3517   0.01284   0.00763  -0.0578   0.0913   0.9998
  11.000   1.4256   0.01459   0.00928  -0.0525   0.0737   0.9998
  12.000   1.4950   0.01667   0.01131  -0.0472   0.0613   0.9998
  13.000   1.5576   0.01929   0.01390  -0.0418   0.0515   0.9998
  14.000   1.6152   0.02242   0.01705  -0.0367   0.0445   0.9998
  15.000   1.6634   0.02646   0.02114  -0.0317   0.0387   0.9998
