  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1691   0.00655   0.00192  -0.1567   0.7369   0.0255
  -4.000   0.2827   0.00639   0.00158  -0.1569   0.6935   0.0283
  -3.000   0.3959   0.00623   0.00122  -0.1572   0.6459   0.0330
  -2.000   0.5085   0.00622   0.00103  -0.1573   0.5953   0.0411
  -1.000   0.6208   0.00623   0.00099  -0.1575   0.5482   0.0800
   0.000   0.7331   0.00631   0.00106  -0.1577   0.5104   0.1273
   1.000   0.8452   0.00642   0.00122  -0.1580   0.4812   0.1974
   2.000   0.9570   0.00649   0.00147  -0.1583   0.4589   0.3205
   3.000   1.0641   0.00568   0.00192  -0.1580   0.4380   0.9998
   4.000   1.1746   0.00604   0.00222  -0.1581   0.4193   0.9998
   5.000   1.2778   0.00690   0.00275  -0.1570   0.3522   0.9998
   6.000   1.3721   0.00831   0.00369  -0.1544   0.2575   0.9998
   7.000   1.4452   0.01111   0.00558  -0.1482   0.0961   0.9998
   8.000   1.5203   0.01330   0.00736  -0.1424   0.0273   0.9998
   9.000   1.5939   0.01480   0.00885  -0.1361   0.0194   0.9998
  10.000   1.6637   0.01641   0.01052  -0.1298   0.0176   0.9998
  11.000   1.7228   0.01873   0.01294  -0.1224   0.0152   0.9998
  12.000   1.7824   0.02121   0.01551  -0.1161   0.0139   0.9998
  13.000   1.8277   0.02491   0.01932  -0.1089   0.0117   0.9998
  14.000   1.8687   0.02933   0.02385  -0.1025   0.0097   0.9998
  15.000   1.8920   0.03578   0.03044  -0.0961   0.0072   0.9998
