  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0233   0.00647   0.00183  -0.1266   0.7807   0.0268
  -4.000   0.1369   0.00626   0.00145  -0.1268   0.7378   0.0294
  -3.000   0.2503   0.00603   0.00105  -0.1269   0.6892   0.0355
  -2.000   0.3633   0.00589   0.00085  -0.1271   0.6373   0.0653
  -1.000   0.4760   0.00586   0.00079  -0.1273   0.5853   0.1147
   0.000   0.5886   0.00591   0.00085  -0.1275   0.5381   0.1807
   1.000   0.7009   0.00594   0.00100  -0.1278   0.4998   0.2934
   2.000   0.8124   0.00545   0.00130  -0.1284   0.4695   0.7014
   5.000   1.1294   0.00706   0.00267  -0.1256   0.2739   0.9998
   6.000   1.2196   0.00912   0.00395  -0.1223   0.1236   0.9998
   7.000   1.3096   0.01099   0.00533  -0.1190   0.0379   0.9998
   8.000   1.4035   0.01228   0.00651  -0.1164   0.0223   0.9998
   9.000   1.4940   0.01356   0.00782  -0.1132   0.0186   0.9998
  10.000   1.5794   0.01484   0.00914  -0.1094   0.0169   0.9998
  11.000   1.6459   0.01656   0.01094  -0.1022   0.0146   0.9998
  12.000   1.7127   0.01835   0.01279  -0.0960   0.0130   0.9998
  13.000   1.7680   0.02098   0.01551  -0.0890   0.0106   0.9998
  14.000   1.8117   0.02470   0.01933  -0.0817   0.0079   0.9998
  15.000   1.8424   0.02992   0.02472  -0.0747   0.0060   0.9998
