  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.2791   0.00681   0.00209  -0.1765   0.6867   0.0217
  -4.000   0.3921   0.00674   0.00183  -0.1766   0.6383   0.0263
  -3.000   0.5047   0.00665   0.00151  -0.1768   0.5858   0.0310
  -2.000   0.6165   0.00670   0.00133  -0.1768   0.5341   0.0357
  -1.000   0.7284   0.00678   0.00128  -0.1769   0.4936   0.0494
   0.000   0.8403   0.00687   0.00136  -0.1771   0.4642   0.0870
   1.000   0.9521   0.00699   0.00152  -0.1774   0.4442   0.1350
   2.000   1.0636   0.00712   0.00175  -0.1777   0.4296   0.2059
   3.000   1.1746   0.00718   0.00209  -0.1782   0.4178   0.3771
