  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5356   0.00813   0.00292  -0.0056   0.5938   0.2622
  -4.000  -0.4321   0.00781   0.00261  -0.0039   0.5538   0.2899
  -3.000  -0.3249   0.00762   0.00239  -0.0028   0.5152   0.3159
  -2.000  -0.2181   0.00746   0.00223  -0.0016   0.4763   0.3466
  -1.000  -0.1089   0.00739   0.00214  -0.0008   0.4421   0.3758
   0.000   0.0000   0.00734   0.00211   0.0000   0.4089   0.4089
   1.000   0.1089   0.00739   0.00214   0.0008   0.3757   0.4421
   2.000   0.2182   0.00746   0.00223   0.0016   0.3466   0.4763
   3.000   0.3250   0.00762   0.00239   0.0028   0.3159   0.5153
   4.000   0.4322   0.00781   0.00261   0.0039   0.2898   0.5539
   5.000   0.5358   0.00813   0.00291   0.0056   0.2621   0.5938
   6.000   0.6378   0.00844   0.00328   0.0075   0.2393   0.6382
   7.000   0.7271   0.00887   0.00374   0.0119   0.2160   0.6852
   8.000   0.8222   0.00947   0.00439   0.0147   0.1958   0.7341
   9.000   0.9144   0.01024   0.00522   0.0178   0.1766   0.7847
  10.000   1.0025   0.01120   0.00626   0.0211   0.1586   0.8376
  11.000   1.0873   0.01235   0.00752   0.0246   0.1441   0.8878
  12.000   1.1638   0.01392   0.00916   0.0289   0.1302   0.9345
  13.000   1.2285   0.01596   0.01126   0.0344   0.1183   0.9758
  14.000   1.3124   0.01859   0.01388   0.0346   0.1077   0.9963
  15.000   1.3790   0.02182   0.01711   0.0365   0.0987   1.0000
