  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1892   0.00731   0.00231  -0.1449   0.6161   0.0161
  -4.000   0.3007   0.00725   0.00193  -0.1446   0.5360   0.0213
  -3.000   0.4119   0.00739   0.00177  -0.1443   0.4585   0.0268
  -2.000   0.5235   0.00760   0.00174  -0.1441   0.4023   0.0303
  -1.000   0.6362   0.00757   0.00156  -0.1442   0.3727   0.0357
   0.000   0.7491   0.00761   0.00153  -0.1444   0.3559   0.0452
   1.000   0.8621   0.00764   0.00163  -0.1447   0.3462   0.0816
   2.000   0.9737   0.00782   0.00185  -0.1449   0.3360   0.1236
   3.000   1.0859   0.00789   0.00211  -0.1453   0.3326   0.2049
   6.000   1.4108   0.00777   0.00340  -0.1454   0.3104   0.9998
   7.000   1.5172   0.00823   0.00385  -0.1452   0.2955   0.9998
   8.000   1.6122   0.00940   0.00473  -0.1432   0.2396   0.9998
   9.000   1.6718   0.01282   0.00729  -0.1352   0.1017   0.9998
  10.000   1.7134   0.01618   0.01017  -0.1241   0.0234   0.9998
  11.000   1.7724   0.01841   0.01243  -0.1168   0.0172   0.9998
  12.000   1.8270   0.02108   0.01523  -0.1100   0.0152   0.9998
  13.000   1.8725   0.02467   0.01894  -0.1032   0.0135   0.9998
  14.000   1.9049   0.02978   0.02422  -0.0967   0.0119   0.9998
  15.000   1.9290   0.03633   0.03096  -0.0915   0.0105   0.9998
