  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1674   0.00656   0.00192  -0.1562   0.7362   0.0255
  -4.000   0.2811   0.00640   0.00158  -0.1565   0.6932   0.0283
  -3.000   0.3943   0.00624   0.00122  -0.1567   0.6448   0.0330
  -2.000   0.5069   0.00623   0.00103  -0.1568   0.5942   0.0411
  -1.000   0.6192   0.00624   0.00099  -0.1570   0.5469   0.0799
   0.000   0.7315   0.00632   0.00106  -0.1572   0.5092   0.1269
   1.000   0.8437   0.00642   0.00122  -0.1575   0.4802   0.1969
   2.000   0.9555   0.00650   0.00147  -0.1579   0.4576   0.3201
   3.000   1.0626   0.00568   0.00192  -0.1576   0.4373   0.9998
   4.000   1.1732   0.00604   0.00222  -0.1577   0.4186   0.9998
   5.000   1.2764   0.00689   0.00274  -0.1566   0.3520   0.9998
   6.000   1.3709   0.00830   0.00368  -0.1540   0.2581   0.9998
   7.000   1.4443   0.01109   0.00557  -0.1479   0.0967   0.9998
   8.000   1.5195   0.01328   0.00734  -0.1421   0.0274   0.9998
   9.000   1.5933   0.01478   0.00883  -0.1359   0.0194   0.9998
  10.000   1.6632   0.01639   0.01050  -0.1295   0.0176   0.9998
  11.000   1.7223   0.01870   0.01291  -0.1221   0.0152   0.9998
  12.000   1.7821   0.02117   0.01547  -0.1158   0.0139   0.9998
  13.000   1.8275   0.02486   0.01927  -0.1086   0.0117   0.9998
  14.000   1.8684   0.02928   0.02380  -0.1023   0.0097   0.9998
  15.000   1.8917   0.03572   0.03038  -0.0958   0.0072   0.9998
