  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1832   0.00782   0.00238  -0.1346   0.5364   0.0313
  -4.000   0.2944   0.00788   0.00212  -0.1339   0.4606   0.0344
  -3.000   0.4058   0.00802   0.00198  -0.1333   0.3967   0.0374
  -2.000   0.5178   0.00814   0.00191  -0.1330   0.3547   0.0412
  -1.000   0.6308   0.00817   0.00187  -0.1329   0.3324   0.0507
   0.000   0.7441   0.00823   0.00195  -0.1330   0.3215   0.0703
   1.000   0.8573   0.00833   0.00210  -0.1331   0.3142   0.0944
   2.000   0.9697   0.00847   0.00231  -0.1333   0.3090   0.1266
   3.000   1.0799   0.00871   0.00264  -0.1332   0.3011   0.1868
   7.000   1.5067   0.00903   0.00453  -0.1318   0.2830   0.9998
   8.000   1.6107   0.00944   0.00498  -0.1312   0.2773   0.9998
   9.000   1.7061   0.01006   0.00560  -0.1292   0.2658   0.9998
  10.000   1.7879   0.01112   0.00654  -0.1249   0.2382   0.9998
  11.000   1.8611   0.01263   0.00794  -0.1196   0.2092   0.9998
  12.000   1.9059   0.01564   0.01066  -0.1105   0.1564   0.9998
  13.000   1.9132   0.02121   0.01583  -0.0980   0.0890   0.9998
  14.000   1.9118   0.02845   0.02292  -0.0877   0.0487   0.9998
  15.000   1.9091   0.03735   0.03186  -0.0808   0.0297   0.9998
