  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1687   0.00655   0.00192  -0.1566   0.7369   0.0255
  -4.000   0.2824   0.00639   0.00158  -0.1569   0.6940   0.0283
  -3.000   0.3955   0.00623   0.00122  -0.1571   0.6461   0.0330
  -2.000   0.5081   0.00622   0.00103  -0.1572   0.5953   0.0411
  -1.000   0.6204   0.00623   0.00099  -0.1574   0.5486   0.0802
   0.000   0.7328   0.00631   0.00106  -0.1576   0.5107   0.1274
   1.000   0.8449   0.00642   0.00122  -0.1579   0.4814   0.1982
   4.000   1.1742   0.00604   0.00222  -0.1581   0.4194   0.9998
   5.000   1.2774   0.00689   0.00275  -0.1569   0.3523   0.9998
   6.000   1.3717   0.00831   0.00369  -0.1544   0.2574   0.9998
   7.000   1.4447   0.01112   0.00559  -0.1481   0.0953   0.9998
   8.000   1.5199   0.01330   0.00736  -0.1423   0.0273   0.9998
   9.000   1.5936   0.01480   0.00884  -0.1361   0.0194   0.9998
  10.000   1.6634   0.01640   0.01051  -0.1297   0.0176   0.9998
  11.000   1.7225   0.01872   0.01293  -0.1223   0.0152   0.9998
  12.000   1.7822   0.02120   0.01550  -0.1160   0.0139   0.9998
  13.000   1.8276   0.02489   0.01930  -0.1088   0.0117   0.9998
  14.000   1.8685   0.02931   0.02383  -0.1025   0.0097   0.9998
  15.000   1.8918   0.03576   0.03042  -0.0960   0.0072   0.9998
