  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1741   0.00775   0.00266  -0.1373   0.5790   0.0134
  -4.000   0.2849   0.00755   0.00205  -0.1368   0.4882   0.0181
  -3.000   0.3957   0.00771   0.00190  -0.1364   0.4040   0.0242
  -2.000   0.5078   0.00784   0.00182  -0.1363   0.3566   0.0291
  -1.000   0.6205   0.00785   0.00170  -0.1363   0.3322   0.0340
   0.000   0.7337   0.00787   0.00165  -0.1365   0.3212   0.0397
   1.000   0.8468   0.00789   0.00172  -0.1367   0.3145   0.0623
   2.000   0.9591   0.00801   0.00191  -0.1370   0.3090   0.0991
   3.000   1.0699   0.00824   0.00222  -0.1371   0.3013   0.1547
   4.000   1.1779   0.00719   0.00275  -0.1372   0.2991   0.9998
   5.000   1.2877   0.00756   0.00309  -0.1373   0.2933   0.9998
   6.000   1.3954   0.00803   0.00353  -0.1372   0.2857   0.9998
   7.000   1.5034   0.00838   0.00393  -0.1373   0.2794   0.9998
   8.000   1.6066   0.00900   0.00448  -0.1367   0.2590   0.9998
   9.000   1.6924   0.01071   0.00579  -0.1333   0.1902   0.9998
  10.000   1.7267   0.01524   0.00938  -0.1212   0.0449   0.9998
  11.000   1.7755   0.01796   0.01198  -0.1120   0.0185   0.9998
  12.000   1.8293   0.02062   0.01473  -0.1049   0.0153   0.9998
  13.000   1.8780   0.02389   0.01814  -0.0985   0.0140   0.9998
  14.000   1.9084   0.02901   0.02343  -0.0916   0.0119   0.9998
  15.000   1.9359   0.03513   0.02974  -0.0866   0.0109   0.9998
