  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1567   0.00640   0.00173  -0.0930   0.8544   0.0301
  -4.000  -0.0434   0.00597   0.00125  -0.0932   0.8195   0.0437
  -3.000   0.0699   0.00560   0.00092  -0.0934   0.7786   0.0826
  -2.000   0.1832   0.00534   0.00072  -0.0936   0.7323   0.1423
  -1.000   0.2963   0.00516   0.00063  -0.0939   0.6808   0.2296
   0.000   0.4088   0.00504   0.00066  -0.0941   0.6234   0.3521
   1.000   0.5207   0.00503   0.00079  -0.0942   0.5609   0.4890
   2.000   0.6297   0.00504   0.00107  -0.0939   0.4744   0.7232
   3.000   0.7347   0.00537   0.00152  -0.0925   0.3498   0.9999
   4.000   0.8378   0.00656   0.00212  -0.0911   0.2164   0.9999
   5.000   0.9386   0.00796   0.00294  -0.0894   0.0979   0.9999
   6.000   1.0404   0.00917   0.00383  -0.0878   0.0405   0.9999
   7.000   1.1426   0.01022   0.00475  -0.0863   0.0247   0.9999
   8.000   1.2433   0.01126   0.00579  -0.0846   0.0209   0.9999
   9.000   1.3422   0.01228   0.00683  -0.0828   0.0189   0.9999
  10.000   1.4353   0.01359   0.00819  -0.0801   0.0165   0.9999
  11.000   1.5265   0.01478   0.00940  -0.0772   0.0147   0.9999
  12.000   1.6076   0.01628   0.01095  -0.0727   0.0122   0.9999
  13.000   1.6712   0.01821   0.01293  -0.0654   0.0095   0.9999
  14.000   1.7244   0.02089   0.01572  -0.0576   0.0073   0.9999
  15.000   1.7682   0.02447   0.01945  -0.0501   0.0062   0.9999
