  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1797   0.00661   0.00194  -0.1570   0.7232   0.0246
  -4.000   0.2931   0.00652   0.00167  -0.1572   0.6761   0.0276
  -2.000   0.5185   0.00637   0.00110  -0.1574   0.5718   0.0387
  -1.000   0.6307   0.00640   0.00105  -0.1576   0.5248   0.0703
   0.000   0.7427   0.00651   0.00113  -0.1578   0.4878   0.1128
   1.000   0.8550   0.00660   0.00128  -0.1581   0.4621   0.1771
   2.000   0.9668   0.00669   0.00152  -0.1584   0.4423   0.2831
   3.000   1.0743   0.00581   0.00199  -0.1583   0.4267   0.9998
   4.000   1.1844   0.00620   0.00230  -0.1583   0.4078   0.9998
   5.000   1.2905   0.00683   0.00272  -0.1577   0.3632   0.9998
   6.000   1.3884   0.00797   0.00350  -0.1558   0.2887   0.9998
   7.000   1.4639   0.01061   0.00528  -0.1501   0.1340   0.9998
   8.000   1.5340   0.01318   0.00728  -0.1434   0.0354   0.9998
   9.000   1.6044   0.01487   0.00889  -0.1366   0.0199   0.9998
  10.000   1.6737   0.01650   0.01059  -0.1303   0.0178   0.9998
  11.000   1.7319   0.01887   0.01305  -0.1228   0.0153   0.9998
  12.000   1.7907   0.02141   0.01569  -0.1165   0.0142   0.9998
  13.000   1.8337   0.02530   0.01970  -0.1092   0.0119   0.9998
  14.000   1.8754   0.02973   0.02424  -0.1031   0.0102   0.9998
  15.000   1.8987   0.03626   0.03092  -0.0969   0.0078   0.9998
