  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1695   0.00655   0.00192  -0.1568   0.7368   0.0255
  -4.000   0.2831   0.00639   0.00158  -0.1571   0.6939   0.0283
  -3.000   0.3963   0.00623   0.00122  -0.1573   0.6458   0.0330
  -2.000   0.5089   0.00622   0.00103  -0.1574   0.5955   0.0411
  -1.000   0.6212   0.00623   0.00099  -0.1576   0.5486   0.0801
   0.000   0.7335   0.00631   0.00106  -0.1578   0.5106   0.1273
   1.000   0.8456   0.00642   0.00122  -0.1581   0.4815   0.1976
   2.000   0.9574   0.00649   0.00147  -0.1584   0.4592   0.3204
   6.000   1.3723   0.00831   0.00369  -0.1545   0.2577   0.9998
   7.000   1.4453   0.01112   0.00559  -0.1483   0.0957   0.9998
   8.000   1.5204   0.01330   0.00736  -0.1424   0.0274   0.9998
   9.000   1.5939   0.01480   0.00885  -0.1361   0.0194   0.9998
  10.000   1.6637   0.01641   0.01052  -0.1298   0.0176   0.9998
  11.000   1.7227   0.01874   0.01295  -0.1224   0.0152   0.9998
  12.000   1.7823   0.02122   0.01552  -0.1161   0.0139   0.9998
  13.000   1.8276   0.02492   0.01933  -0.1089   0.0117   0.9998
  14.000   1.8686   0.02934   0.02386  -0.1025   0.0098   0.9998
  15.000   1.8919   0.03579   0.03045  -0.0961   0.0072   0.9998
