  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1695   0.00655   0.00192  -0.1568   0.7368   0.0255
  -4.000   0.2832   0.00639   0.00158  -0.1571   0.6938   0.0283
  -3.000   0.3964   0.00623   0.00122  -0.1573   0.6459   0.0330
  -2.000   0.5090   0.00622   0.00103  -0.1574   0.5954   0.0411
  -1.000   0.6213   0.00623   0.00099  -0.1576   0.5484   0.0802
   0.000   0.7336   0.00631   0.00106  -0.1578   0.5106   0.1272
   1.000   0.8457   0.00642   0.00122  -0.1581   0.4814   0.1977
   2.000   0.9575   0.00649   0.00147  -0.1585   0.4592   0.3206
   3.000   1.0645   0.00568   0.00193  -0.1582   0.4382   0.9998
   4.000   1.1751   0.00604   0.00222  -0.1583   0.4195   0.9998
   5.000   1.2782   0.00689   0.00275  -0.1571   0.3524   0.9998
   6.000   1.3725   0.00831   0.00369  -0.1545   0.2578   0.9998
   7.000   1.4454   0.01113   0.00559  -0.1483   0.0953   0.9998
   8.000   1.5206   0.01330   0.00736  -0.1425   0.0274   0.9998
   9.000   1.5940   0.01480   0.00885  -0.1362   0.0194   0.9998
  10.000   1.6638   0.01641   0.01052  -0.1298   0.0176   0.9998
  11.000   1.7228   0.01874   0.01295  -0.1224   0.0152   0.9998
  12.000   1.7825   0.02122   0.01552  -0.1161   0.0139   0.9998
  13.000   1.8278   0.02492   0.01933  -0.1089   0.0117   0.9998
  14.000   1.8687   0.02935   0.02387  -0.1026   0.0097   0.9998
  15.000   1.8921   0.03579   0.03045  -0.0961   0.0072   0.9998
