  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2270   0.00899   0.00366  -0.0651   0.5505   0.2679
  -4.000  -0.1583   0.00886   0.00349  -0.0565   0.5255   0.2805
  -3.000  -0.0972   0.00875   0.00335  -0.0463   0.5013   0.2947
  -2.000  -0.0127   0.00878   0.00336  -0.0411   0.4770   0.3115
  -1.000   0.0794   0.00891   0.00347  -0.0376   0.4532   0.3292
   0.000   0.1728   0.00914   0.00369  -0.0345   0.4298   0.3478
   1.000   0.2705   0.00945   0.00399  -0.0324   0.4069   0.3676
   2.000   0.3659   0.00990   0.00443  -0.0301   0.3843   0.3884
   3.000   0.4624   0.01045   0.00498  -0.0282   0.3641   0.4106
   4.000   0.5597   0.01110   0.00565  -0.0268   0.3450   0.4345
   5.000   0.6528   0.01196   0.00654  -0.0250   0.3265   0.4599
   6.000   0.7440   0.01303   0.00763  -0.0232   0.3087   0.4872
   7.000   0.8336   0.01429   0.00892  -0.0216   0.2914   0.5160
   8.000   0.9200   0.01580   0.01049  -0.0199   0.2749   0.5521
   9.000   1.0014   0.01768   0.01246  -0.0180   0.2591   0.5937
  10.000   1.0783   0.01995   0.01482  -0.0160   0.2440   0.6355
  11.000   1.1508   0.02262   0.01764  -0.0140   0.2298   0.6954
  12.000   1.2175   0.02577   0.02100  -0.0120   0.2164   0.7697
  13.000   1.2744   0.02961   0.02519  -0.0094   0.2039   0.8827
  14.000   1.3195   0.03399   0.02983  -0.0055   0.1922   0.9956
  15.000   1.3666   0.03915   0.03499  -0.0038   0.1810   0.9997
