  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1680   0.00662   0.00191  -0.1558   0.7285   0.0268
  -4.000   0.2818   0.00644   0.00157  -0.1561   0.6844   0.0300
  -2.000   0.5078   0.00626   0.00105  -0.1564   0.5869   0.0498
  -1.000   0.6201   0.00630   0.00103  -0.1566   0.5408   0.0849
   0.000   0.7325   0.00639   0.00110  -0.1568   0.5044   0.1317
   1.000   0.8447   0.00648   0.00127  -0.1571   0.4763   0.2052
   2.000   0.9568   0.00655   0.00151  -0.1575   0.4555   0.3180
   6.000   1.3753   0.00807   0.00357  -0.1541   0.2819   0.9998
   7.000   1.4527   0.01049   0.00522  -0.1486   0.1413   0.9998
   8.000   1.5220   0.01301   0.00716  -0.1417   0.0429   0.9998
   9.000   1.5899   0.01476   0.00880  -0.1345   0.0221   0.9998
  10.000   1.6566   0.01658   0.01066  -0.1277   0.0182   0.9998
  11.000   1.7201   0.01869   0.01285  -0.1211   0.0167   0.9998
  12.000   1.7710   0.02178   0.01606  -0.1137   0.0145   0.9998
  13.000   1.8229   0.02509   0.01950  -0.1075   0.0136   0.9998
  14.000   1.8588   0.02998   0.02451  -0.1008   0.0117   0.9998
  15.000   1.8913   0.03571   0.03039  -0.0953   0.0102   0.9998
