  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.2215   0.00686   0.00208  -0.1605   0.6757   0.0212
  -4.000   0.3342   0.00683   0.00183  -0.1604   0.6177   0.0258
  -3.000   0.4463   0.00681   0.00154  -0.1604   0.5566   0.0303
  -2.000   0.5580   0.00689   0.00136  -0.1604   0.4989   0.0346
  -1.000   0.6701   0.00696   0.00129  -0.1605   0.4579   0.0442
   0.000   0.7825   0.00702   0.00135  -0.1607   0.4309   0.0794
   1.000   0.8948   0.00712   0.00149  -0.1610   0.4134   0.1239
   2.000   1.0067   0.00724   0.00171  -0.1613   0.4005   0.1921
   6.000   1.4397   0.00754   0.00332  -0.1611   0.3389   0.9998
   7.000   1.5325   0.00889   0.00427  -0.1585   0.2626   0.9998
   8.000   1.5947   0.01211   0.00658  -0.1506   0.1085   0.9998
   9.000   1.6453   0.01500   0.00899  -0.1405   0.0274   0.9998
  10.000   1.7087   0.01695   0.01095  -0.1333   0.0188   0.9998
  11.000   1.7655   0.01944   0.01352  -0.1260   0.0158   0.9998
  12.000   1.8209   0.02225   0.01645  -0.1195   0.0147   0.9998
  13.000   1.8624   0.02635   0.02067  -0.1125   0.0128   0.9998
  14.000   1.8975   0.03146   0.02594  -0.1063   0.0114   0.9998
  15.000   1.9171   0.03864   0.03328  -0.1007   0.0092   0.9998
