  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1760   0.00759   0.00240  -0.1368   0.5695   0.0178
  -4.000   0.2870   0.00759   0.00204  -0.1363   0.4817   0.0227
  -3.000   0.3979   0.00780   0.00192  -0.1359   0.3999   0.0276
  -2.000   0.5102   0.00791   0.00183  -0.1357   0.3559   0.0315
  -1.000   0.6232   0.00793   0.00174  -0.1357   0.3332   0.0358
   0.000   0.7363   0.00797   0.00171  -0.1358   0.3201   0.0424
   1.000   0.8497   0.00797   0.00180  -0.1362   0.3148   0.0700
   2.000   0.9618   0.00813   0.00200  -0.1363   0.3082   0.1046
   3.000   1.0731   0.00832   0.00229  -0.1365   0.3024   0.1596
   4.000   1.1808   0.00726   0.00283  -0.1365   0.2994   0.9998
   5.000   1.2903   0.00766   0.00319  -0.1366   0.2943   0.9998
   6.000   1.3979   0.00813   0.00363  -0.1364   0.2869   0.9998
   7.000   1.5059   0.00849   0.00403  -0.1365   0.2815   0.9998
   8.000   1.6100   0.00902   0.00454  -0.1360   0.2675   0.9998
   9.000   1.7039   0.01010   0.00542  -0.1340   0.2267   0.9998
  11.000   1.7788   0.01755   0.01165  -0.1113   0.0338   0.9998
  12.000   1.8225   0.02087   0.01495  -0.1029   0.0180   0.9998
  13.000   1.8656   0.02465   0.01884  -0.0961   0.0152   0.9998
  14.000   1.9019   0.02946   0.02383  -0.0901   0.0140   0.9998
  15.000   1.9222   0.03635   0.03092  -0.0849   0.0128   0.9998
