  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1693   0.00655   0.00192  -0.1568   0.7367   0.0255
  -4.000   0.2830   0.00639   0.00158  -0.1570   0.6939   0.0283
  -3.000   0.3962   0.00623   0.00122  -0.1572   0.6459   0.0330
  -2.000   0.5088   0.00622   0.00103  -0.1574   0.5958   0.0411
  -1.000   0.6211   0.00623   0.00099  -0.1575   0.5487   0.0800
   0.000   0.7334   0.00631   0.00106  -0.1578   0.5107   0.1272
   1.000   0.8455   0.00642   0.00122  -0.1581   0.4816   0.1978
   2.000   0.9573   0.00649   0.00146  -0.1584   0.4593   0.3205
   3.000   1.0643   0.00568   0.00193  -0.1581   0.4383   0.9998
   4.000   1.1749   0.00604   0.00222  -0.1582   0.4195   0.9998
   5.000   1.2781   0.00689   0.00275  -0.1571   0.3524   0.9998
   6.000   1.3723   0.00832   0.00369  -0.1545   0.2573   0.9998
   7.000   1.4453   0.01113   0.00560  -0.1483   0.0950   0.9998
   8.000   1.5206   0.01330   0.00736  -0.1425   0.0274   0.9998
   9.000   1.5941   0.01480   0.00885  -0.1362   0.0194   0.9998
  10.000   1.6639   0.01641   0.01052  -0.1298   0.0176   0.9998
  11.000   1.7229   0.01874   0.01295  -0.1224   0.0152   0.9998
  12.000   1.7826   0.02121   0.01551  -0.1161   0.0139   0.9998
  13.000   1.8279   0.02492   0.01933  -0.1089   0.0117   0.9998
  14.000   1.8688   0.02934   0.02386  -0.1026   0.0097   0.9998
  15.000   1.8921   0.03579   0.03045  -0.0962   0.0072   0.9998
