  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1687   0.00655   0.00192  -0.1566   0.7365   0.0255
  -4.000   0.2824   0.00640   0.00158  -0.1568   0.6934   0.0283
  -3.000   0.3956   0.00623   0.00122  -0.1570   0.6453   0.0330
  -2.000   0.5082   0.00622   0.00103  -0.1572   0.5949   0.0411
   0.000   0.7328   0.00632   0.00106  -0.1576   0.5101   0.1271
   1.000   0.8449   0.00642   0.00122  -0.1579   0.4810   0.1974
   2.000   0.9567   0.00649   0.00147  -0.1582   0.4586   0.3204
   5.000   1.2776   0.00689   0.00274  -0.1569   0.3525   0.9998
   6.000   1.3719   0.00831   0.00368  -0.1544   0.2580   0.9998
   7.000   1.4450   0.01111   0.00558  -0.1481   0.0960   0.9998
   8.000   1.5202   0.01329   0.00735  -0.1423   0.0274   0.9998
   9.000   1.5938   0.01480   0.00884  -0.1361   0.0194   0.9998
  10.000   1.6636   0.01640   0.01051  -0.1297   0.0176   0.9998
  11.000   1.7227   0.01872   0.01294  -0.1223   0.0152   0.9998
  12.000   1.7824   0.02120   0.01550  -0.1160   0.0139   0.9998
  13.000   1.8277   0.02490   0.01931  -0.1088   0.0117   0.9998
  14.000   1.8686   0.02932   0.02384  -0.1025   0.0097   0.9998
  15.000   1.8920   0.03577   0.03043  -0.0960   0.0072   0.9998
