  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1702   0.00655   0.00192  -0.1570   0.7366   0.0255
  -4.000   0.2839   0.00639   0.00158  -0.1572   0.6937   0.0283
  -3.000   0.3971   0.00623   0.00122  -0.1574   0.6457   0.0330
  -2.000   0.5097   0.00622   0.00103  -0.1575   0.5953   0.0411
  -1.000   0.6219   0.00623   0.00099  -0.1577   0.5483   0.0800
   0.000   0.7343   0.00632   0.00106  -0.1580   0.5105   0.1271
   1.000   0.8464   0.00642   0.00122  -0.1583   0.4814   0.1969
   2.000   0.9582   0.00649   0.00147  -0.1586   0.4591   0.3198
   5.000   1.2789   0.00689   0.00275  -0.1573   0.3527   0.9998
   6.000   1.3732   0.00832   0.00369  -0.1547   0.2579   0.9998
   7.000   1.4460   0.01113   0.00560  -0.1484   0.0957   0.9998
   8.000   1.5211   0.01331   0.00736  -0.1426   0.0274   0.9998
   9.000   1.5944   0.01481   0.00886  -0.1363   0.0194   0.9998
  10.000   1.6642   0.01643   0.01053  -0.1299   0.0176   0.9998
  11.000   1.7232   0.01876   0.01297  -0.1225   0.0152   0.9998
  12.000   1.7828   0.02124   0.01554  -0.1162   0.0140   0.9998
  13.000   1.8281   0.02495   0.01936  -0.1090   0.0117   0.9998
  14.000   1.8690   0.02938   0.02390  -0.1027   0.0097   0.9998
  15.000   1.8923   0.03583   0.03049  -0.0963   0.0072   0.9998
