  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1791   0.00762   0.00234  -0.1360   0.5570   0.0246
  -4.000   0.2902   0.00775   0.00212  -0.1354   0.4710   0.0284
  -3.000   0.4014   0.00789   0.00196  -0.1349   0.3996   0.0321
  -2.000   0.5137   0.00798   0.00184  -0.1347   0.3555   0.0355
  -1.000   0.6267   0.00804   0.00179  -0.1347   0.3336   0.0397
   0.000   0.7402   0.00804   0.00179  -0.1348   0.3222   0.0528
   1.000   0.8529   0.00815   0.00193  -0.1350   0.3127   0.0804
   2.000   0.9658   0.00825   0.00212  -0.1353   0.3089   0.1130
   3.000   1.0770   0.00844   0.00241  -0.1354   0.3029   0.1734
   6.000   1.4017   0.00822   0.00374  -0.1352   0.2891   0.9998
   7.000   1.5068   0.00875   0.00426  -0.1347   0.2811   0.9998
   8.000   1.6121   0.00917   0.00471  -0.1344   0.2737   0.9998
   9.000   1.7089   0.00997   0.00540  -0.1328   0.2471   0.9998
  10.000   1.7899   0.01135   0.00658  -0.1284   0.2073   0.9998
  11.000   1.8267   0.01463   0.00935  -0.1168   0.1249   0.9998
  12.000   1.8380   0.01970   0.01395  -0.1033   0.0485   0.9998
  13.000   1.8585   0.02499   0.01917  -0.0938   0.0217   0.9998
  14.000   1.8863   0.03061   0.02491  -0.0874   0.0168   0.9998
  15.000   1.9039   0.03799   0.03248  -0.0825   0.0150   0.9998
