  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1696   0.00655   0.00192  -0.1568   0.7365   0.0255
  -4.000   0.2833   0.00640   0.00158  -0.1571   0.6935   0.0283
  -3.000   0.3965   0.00623   0.00122  -0.1573   0.6453   0.0330
  -2.000   0.5091   0.00622   0.00103  -0.1574   0.5953   0.0411
  -1.000   0.6214   0.00623   0.00099  -0.1576   0.5482   0.0800
   0.000   0.7337   0.00632   0.00106  -0.1578   0.5104   0.1272
   1.000   0.8458   0.00642   0.00122  -0.1581   0.4812   0.1973
   2.000   0.9577   0.00649   0.00147  -0.1585   0.4589   0.3201
   3.000   1.0647   0.00568   0.00193  -0.1582   0.4381   0.9998
   4.000   1.1753   0.00605   0.00222  -0.1583   0.4194   0.9998
   5.000   1.2785   0.00689   0.00275  -0.1572   0.3526   0.9998
   6.000   1.3728   0.00831   0.00369  -0.1546   0.2581   0.9998
   7.000   1.4457   0.01112   0.00559  -0.1483   0.0957   0.9998
   8.000   1.5209   0.01330   0.00736  -0.1425   0.0274   0.9998
   9.000   1.5944   0.01481   0.00885  -0.1362   0.0194   0.9998
  10.000   1.6642   0.01642   0.01053  -0.1299   0.0176   0.9998
  11.000   1.7231   0.01874   0.01295  -0.1225   0.0152   0.9998
  12.000   1.7828   0.02122   0.01552  -0.1162   0.0139   0.9998
  13.000   1.8281   0.02493   0.01934  -0.1090   0.0117   0.9998
  14.000   1.8690   0.02936   0.02388  -0.1026   0.0097   0.9998
  15.000   1.8924   0.03580   0.03046  -0.0962   0.0072   0.9998
