  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2336   0.00766   0.00254  -0.0705   0.6273   0.2249
  -4.000  -0.1242   0.00747   0.00234  -0.0698   0.5943   0.2478
  -3.000  -0.0163   0.00735   0.00220  -0.0687   0.5592   0.2732
  -2.000   0.0933   0.00730   0.00213  -0.0680   0.5276   0.2975
  -1.000   0.1995   0.00731   0.00212  -0.0666   0.4926   0.3274
   0.000   0.3066   0.00736   0.00217  -0.0654   0.4630   0.3549
   1.000   0.4087   0.00751   0.00229  -0.0632   0.4292   0.3877
   2.000   0.5031   0.00765   0.00244  -0.0595   0.4015   0.4195
   3.000   0.5994   0.00799   0.00277  -0.0564   0.3698   0.4560
   4.000   0.7003   0.00842   0.00321  -0.0543   0.3429   0.4929
   5.000   0.7978   0.00899   0.00378  -0.0520   0.3133   0.5397
   6.000   0.8939   0.00964   0.00447  -0.0496   0.2873   0.5904
   7.000   0.9856   0.01047   0.00535  -0.0467   0.2609   0.6484
   8.000   1.0739   0.01147   0.00645  -0.0435   0.2367   0.7258
   9.000   1.1583   0.01264   0.00782  -0.0401   0.2141   0.8288
  10.000   1.2280   0.01410   0.00955  -0.0341   0.1935   0.9651
  11.000   1.3070   0.01614   0.01153  -0.0313   0.1740   0.9998
  12.000   1.3744   0.01873   0.01405  -0.0273   0.1569   0.9998
  13.000   1.4363   0.02188   0.01714  -0.0233   0.1406   0.9998
  14.000   1.4931   0.02567   0.02091  -0.0198   0.1282   0.9998
  15.000   1.5426   0.03018   0.02543  -0.0163   0.1165   0.9998
