  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.2287   0.00650   0.00191  -0.1720   0.7375   0.0257
  -4.000   0.3426   0.00632   0.00155  -0.1723   0.6990   0.0287
  -2.000   0.5687   0.00614   0.00104  -0.1728   0.6117   0.0424
  -1.000   0.6811   0.00614   0.00101  -0.1731   0.5694   0.0815
   0.000   0.7929   0.00626   0.00110  -0.1733   0.5319   0.1280
   2.000   1.0162   0.00647   0.00152  -0.1739   0.4801   0.3045
   6.000   1.4241   0.00858   0.00393  -0.1688   0.2652   0.9998
   7.000   1.4899   0.01155   0.00597  -0.1611   0.0977   0.9998
   8.000   1.5537   0.01380   0.00782  -0.1530   0.0290   0.9998
   9.000   1.6214   0.01553   0.00953  -0.1459   0.0195   0.9998
  10.000   1.6887   0.01738   0.01145  -0.1395   0.0176   0.9998
  11.000   1.7452   0.01999   0.01416  -0.1320   0.0152   0.9998
  12.000   1.8021   0.02280   0.01707  -0.1257   0.0140   0.9998
  13.000   1.8438   0.02694   0.02133  -0.1184   0.0118   0.9998
  14.000   1.8834   0.03167   0.02616  -0.1121   0.0100   0.9998
  15.000   1.9067   0.03839   0.03302  -0.1059   0.0075   0.9998
