  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1695   0.00655   0.00192  -0.1568   0.7367   0.0255
  -4.000   0.2832   0.00639   0.00158  -0.1571   0.6938   0.0283
  -3.000   0.3964   0.00623   0.00122  -0.1573   0.6459   0.0330
  -2.000   0.5090   0.00622   0.00103  -0.1574   0.5954   0.0411
  -1.000   0.6213   0.00623   0.00099  -0.1576   0.5486   0.0802
   0.000   0.7336   0.00631   0.00106  -0.1578   0.5106   0.1274
   1.000   0.8457   0.00642   0.00122  -0.1581   0.4815   0.1979
   2.000   0.9575   0.00649   0.00147  -0.1585   0.4592   0.3203
   6.000   1.3724   0.00832   0.00369  -0.1545   0.2575   0.9998
   7.000   1.4454   0.01112   0.00559  -0.1483   0.0957   0.9998
   8.000   1.5205   0.01330   0.00736  -0.1424   0.0273   0.9998
   9.000   1.5940   0.01480   0.00885  -0.1362   0.0194   0.9998
  10.000   1.6638   0.01641   0.01052  -0.1298   0.0176   0.9998
  11.000   1.7228   0.01874   0.01295  -0.1224   0.0152   0.9998
  12.000   1.7824   0.02122   0.01552  -0.1161   0.0139   0.9998
  13.000   1.8277   0.02492   0.01933  -0.1089   0.0117   0.9998
  14.000   1.8686   0.02935   0.02387  -0.1026   0.0097   0.9998
  15.000   1.8920   0.03579   0.03045  -0.0961   0.0072   0.9998
