  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1691   0.00655   0.00192  -0.1567   0.7365   0.0255
  -4.000   0.2828   0.00639   0.00158  -0.1569   0.6938   0.0284
  -3.000   0.3959   0.00623   0.00122  -0.1571   0.6457   0.0330
  -2.000   0.5085   0.00622   0.00103  -0.1573   0.5953   0.0410
  -1.000   0.6208   0.00623   0.00099  -0.1574   0.5481   0.0802
   0.000   0.7331   0.00632   0.00106  -0.1577   0.5103   0.1272
   1.000   0.8452   0.00642   0.00122  -0.1580   0.4812   0.1972
   2.000   0.9570   0.00649   0.00147  -0.1583   0.4589   0.3205
   5.000   1.2777   0.00689   0.00275  -0.1570   0.3525   0.9998
   6.000   1.3721   0.00831   0.00368  -0.1544   0.2581   0.9998
   7.000   1.4452   0.01111   0.00558  -0.1482   0.0964   0.9998
   8.000   1.5203   0.01329   0.00735  -0.1423   0.0275   0.9998
   9.000   1.5937   0.01480   0.00884  -0.1361   0.0194   0.9998
  10.000   1.6636   0.01641   0.01052  -0.1297   0.0176   0.9998
  11.000   1.7226   0.01873   0.01294  -0.1223   0.0152   0.9998
  12.000   1.7822   0.02121   0.01551  -0.1160   0.0139   0.9998
  13.000   1.8275   0.02491   0.01932  -0.1088   0.0117   0.9998
  14.000   1.8686   0.02933   0.02385  -0.1025   0.0098   0.9998
  15.000   1.8919   0.03578   0.03044  -0.0961   0.0072   0.9998
