  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0313   0.00661   0.00192  -0.1240   0.7554   0.0257
  -4.000   0.1446   0.00647   0.00160  -0.1241   0.7035   0.0281
  -3.000   0.2575   0.00626   0.00116  -0.1242   0.6466   0.0332
  -2.000   0.3701   0.00620   0.00094  -0.1242   0.5870   0.0492
  -1.000   0.4824   0.00624   0.00089  -0.1243   0.5301   0.0878
   1.000   0.7075   0.00635   0.00108  -0.1249   0.4526   0.2346
   2.000   0.8193   0.00571   0.00140  -0.1255   0.4303   0.7062
   4.000   1.0387   0.00585   0.00197  -0.1249   0.3828   0.9998
   5.000   1.1443   0.00666   0.00246  -0.1242   0.3153   0.9998
   6.000   1.2404   0.00822   0.00345  -0.1220   0.2031   0.9998
   7.000   1.3259   0.01056   0.00505  -0.1180   0.0678   0.9998
   8.000   1.4154   0.01227   0.00648  -0.1148   0.0238   0.9998
   9.000   1.5060   0.01358   0.00779  -0.1118   0.0190   0.9998
  10.000   1.5921   0.01487   0.00913  -0.1082   0.0174   0.9998
  11.000   1.6582   0.01664   0.01099  -0.1011   0.0149   0.9998
  12.000   1.7246   0.01842   0.01284  -0.0949   0.0135   0.9998
  13.000   1.7782   0.02115   0.01566  -0.0878   0.0113   0.9998
  14.000   1.8225   0.02484   0.01945  -0.0809   0.0087   0.9998
  15.000   1.8512   0.03030   0.02505  -0.0741   0.0064   0.9998
